bioguideId,depictionAttribution,depictionImageUrl,name,partyName,state,district,updateDate,url,birthYear,cosponsoredLegislationCount,cosponsoredLegislationUrl,directOrderName,firstName,honorificName,invertedOrderName,lastName,partyHistory,terms,sponsoredLegislationCount,sponsoredLegislationUrl
F000476,Image courtesy of the Member,https://www.congress.gov/img/member/f000476_200.jpg,"Frost, Maxwell",Democratic,Florida,10,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/F000476?format=json,1997,319,https://api.congress.gov/v3/member/F000476/cosponsored-legislation,Maxwell Frost,Maxwell,MISSING,"Frost, Maxwell",Frost,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;district:10;memberType:Representative;startYear:2023;stateCode:FL;stateName:Florida;,8,https://api.congress.gov/v3/member/F000476/sponsored-legislation
F000477,Image courtesy of the Member,https://www.congress.gov/img/member/f000477_200.jpg,"Foushee, Valerie P.",Democratic,North Carolina,4,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/F000477?format=json,1956,231,https://api.congress.gov/v3/member/F000477/cosponsored-legislation,Valerie P. Foushee,Valerie,MISSING,"Foushee, Valerie P.",Foushee,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;district:4;memberType:Representative;startYear:2023;stateCode:NC;stateName:North Carolina;,2,https://api.congress.gov/v3/member/F000477/sponsored-legislation
E000235,Image courtesy of the Member,https://www.congress.gov/img/member/e000235_200.jpg,"Ezell, Mike",Republican,Mississippi,4,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/E000235?format=json,1959,144,https://api.congress.gov/v3/member/E000235/cosponsored-legislation,Mike Ezell,Mike,Mr.,"Ezell, Mike",Ezell,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:4;memberType:Representative;startYear:2023;stateCode:MS;stateName:Mississippi;,6,https://api.congress.gov/v3/member/E000235/sponsored-legislation
E000246,Image courtesy of the Member,https://www.congress.gov/img/member/e000246_200.jpg,"Edwards, Chuck",Republican,North Carolina,11,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/E000246?format=json,1960,184,https://api.congress.gov/v3/member/E000246/cosponsored-legislation,Chuck Edwards,Chuck,Mr.,"Edwards, Chuck",Edwards,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:11;memberType:Representative;startYear:2023;stateCode:NC;stateName:North Carolina;,20,https://api.congress.gov/v3/member/E000246/sponsored-legislation
D000633,Image courtesy of the Member,https://www.congress.gov/img/member/d000633_200.jpg,"Duarte, John S.",Republican,California,13,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/D000633?format=json,1966,122,https://api.congress.gov/v3/member/D000633/cosponsored-legislation,John S. Duarte,John,MISSING,"Duarte, John S.",Duarte,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:13;memberType:Representative;startYear:2023;stateCode:CA;stateName:California;,7,https://api.congress.gov/v3/member/D000633/sponsored-legislation
D000632,Image courtesy of the Member,https://www.congress.gov/img/member/d000632_200.jpg,"D'Esposito, Anthony",Republican,New York,4,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/D000632?format=json,1982,234,https://api.congress.gov/v3/member/D000632/cosponsored-legislation,Anthony D'Esposito,Anthony,MISSING,"D'Esposito, Anthony",D'Esposito,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:4;memberType:Representative;startYear:2023;stateCode:NY;stateName:New York;,21,https://api.congress.gov/v3/member/D000632/sponsored-legislation
D000530,Image courtesy of the Member,https://www.congress.gov/img/member/d000530_200.jpg,"Deluzio, Christopher R.",Democratic,Pennsylvania,17,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/D000530?format=json,1984,246,https://api.congress.gov/v3/member/D000530/cosponsored-legislation,Christopher R. Deluzio,Christopher,MISSING,"Deluzio, Christopher R.",Deluzio,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;district:17;memberType:Representative;startYear:2023;stateCode:PA;stateName:Pennsylvania;,11,https://api.congress.gov/v3/member/D000530/sponsored-legislation
D000594,Image courtesy of the Member,https://www.congress.gov/img/member/d000594_200.jpg,"De La Cruz, Monica",Republican,Texas,15,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/D000594?format=json,1974,253,https://api.congress.gov/v3/member/D000594/cosponsored-legislation,Monica De La Cruz,Monica,Ms.,"De La Cruz, Monica",De La Cruz,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:15;memberType:Representative;startYear:2023;stateCode:TX;stateName:Texas;,17,https://api.congress.gov/v3/member/D000594/sponsored-legislation
D000230,Image courtesy of the Member,https://www.congress.gov/img/member/d000230_200.jpg,"Davis, Donald G.",Democratic,North Carolina,1,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/D000230?format=json,1971,480,https://api.congress.gov/v3/member/D000230/cosponsored-legislation,Donald G. Davis,Donald,MISSING,"Davis, Donald G.",Davis,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;district:1;memberType:Representative;startYear:2023;stateCode:NC;stateName:North Carolina;,18,https://api.congress.gov/v3/member/D000230/sponsored-legislation
C001132,Image courtesy of the Member,https://www.congress.gov/img/member/c001132_200.jpg,"Crane, Elijah",Republican,Arizona,2,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/C001132?format=json,1980,683,https://api.congress.gov/v3/member/C001132/cosponsored-legislation,Elijah Crane,Elijah,MISSING,"Crane, Elijah",Crane,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:2;memberType:Representative;startYear:2023;stateCode:AZ;stateName:Arizona;,17,https://api.congress.gov/v3/member/C001132/sponsored-legislation
C001129,Image courtesy of the Member,https://www.congress.gov/img/member/c001129_200.jpg,"Collins, Mike",Republican,Georgia,10,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/C001129?format=json,1967,104,https://api.congress.gov/v3/member/C001129/cosponsored-legislation,Mike Collins,Mike,Mr.,"Collins, Mike",Collins,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:10;memberType:Representative;startYear:2023;stateCode:GA;stateName:Georgia;,8,https://api.congress.gov/v3/member/C001129/sponsored-legislation
C001133,Image courtesy of the Member,https://www.congress.gov/img/member/c001133_200.jpg,"Ciscomani, Juan",Republican,Arizona,6,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/C001133?format=json,1982,203,https://api.congress.gov/v3/member/C001133/cosponsored-legislation,Juan Ciscomani,Juan,Mr.,"Ciscomani, Juan",Ciscomani,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:6;memberType:Representative;startYear:2023;stateCode:AZ;stateName:Arizona;,17,https://api.congress.gov/v3/member/C001133/sponsored-legislation
C001135,Image courtesy of the Member,https://www.congress.gov/img/member/c001135_200.jpg,"Chavez-DeRemer, Lori",Republican,Oregon,5,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/C001135?format=json,1968,239,https://api.congress.gov/v3/member/C001135/cosponsored-legislation,Lori Chavez-DeRemer,Lori,Mrs.,"Chavez-DeRemer, Lori",Chavez-DeRemer,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:5;memberType:Representative;startYear:2023;stateCode:OR;stateName:Oregon;,14,https://api.congress.gov/v3/member/C001135/sponsored-legislation
C001131,Image courtesy of the Member,https://www.congress.gov/img/member/c001131_200.jpg,"Casar, Greg",Democratic,Texas,35,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/C001131?format=json,1989,286,https://api.congress.gov/v3/member/C001131/cosponsored-legislation,Greg Casar,Greg,Mr.,"Casar, Greg",Casar,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;district:35;memberType:Representative;startYear:2023;stateCode:TX;stateName:Texas;,4,https://api.congress.gov/v3/member/C001131/sponsored-legislation
C001134,Image courtesy of the Member,https://www.congress.gov/img/member/c001134_200.jpg,"Caraveo, Yadira",Democratic,Colorado,8,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/C001134?format=json,1980,393,https://api.congress.gov/v3/member/C001134/cosponsored-legislation,Yadira Caraveo,Yadira,Ms.,"Caraveo, Yadira",Caraveo,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;district:8;memberType:Representative;startYear:2023;stateCode:CO;stateName:Colorado;,16,https://api.congress.gov/v3/member/C001134/sponsored-legislation
B001316,Image courtesy of the Member,https://www.congress.gov/img/member/b001316_200.jpg,"Burlison, Eric",Republican,Missouri,7,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/B001316?format=json,1976,167,https://api.congress.gov/v3/member/B001316/cosponsored-legislation,Eric Burlison,Eric,Mr.,"Burlison, Eric",Burlison,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:7;memberType:Representative;startYear:2023;stateCode:MO;stateName:Missouri;,17,https://api.congress.gov/v3/member/B001316/sponsored-legislation
B001315,Image courtesy of the Member,https://www.congress.gov/img/member/b001315_200.jpg,"Budzinski, Nikki",Democratic,Illinois,13,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/B001315?format=json,1977,311,https://api.congress.gov/v3/member/B001315/cosponsored-legislation,Nikki Budzinski,Nikki,Ms.,"Budzinski, Nikki",Budzinski,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;district:13;memberType:Representative;startYear:2023;stateCode:IL;stateName:Illinois;,9,https://api.congress.gov/v3/member/B001315/sponsored-legislation
B001317,Image courtesy of the Member,https://www.congress.gov/img/member/b001317_200.jpg,"Brecheen, Josh",Republican,Oklahoma,2,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/B001317?format=json,1979,181,https://api.congress.gov/v3/member/B001317/cosponsored-legislation,Josh Brecheen,Josh,Mr.,"Brecheen, Josh",Brecheen,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:2;memberType:Representative;startYear:2023;stateCode:OK;stateName:Oklahoma;,19,https://api.congress.gov/v3/member/B001317/sponsored-legislation
B001314,Image courtesy of the Member,https://www.congress.gov/img/member/b001314_200.jpg,"Bean, Aaron",Republican,Florida,4,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/B001314?format=json,1967,116,https://api.congress.gov/v3/member/B001314/cosponsored-legislation,Aaron Bean,Aaron,Mr.,"Bean, Aaron",Bean,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:4;memberType:Representative;startYear:2023;stateCode:FL;stateName:Florida;,11,https://api.congress.gov/v3/member/B001314/sponsored-legislation
B001318,Image courtesy of the Member,https://www.congress.gov/img/member/b001318_200.jpg,"Balint, Becca",Democratic,Vermont,0,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/B001318?format=json,1968,274,https://api.congress.gov/v3/member/B001318/cosponsored-legislation,Becca Balint,Becca,Ms.,"Balint, Becca",Balint,partyAbbreviation:D;partyName:Democratic;startYear:2023;,chamber:House of Representatives;congress:118;memberType:Representative;startYear:2023;stateCode:VT;stateName:Vermont;,12,https://api.congress.gov/v3/member/B001318/sponsored-legislation
A000379,Image courtesy of the Member,https://www.congress.gov/img/member/a000379_200.jpg,"Alford, Mark",Republican,Missouri,4,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/A000379?format=json,1963,133,https://api.congress.gov/v3/member/A000379/cosponsored-legislation,Mark Alford,Mark,Mr.,"Alford, Mark",Alford,partyAbbreviation:R;partyName:Republican;startYear:2023;,chamber:House of Representatives;congress:118;district:4;memberType:Representative;startYear:2023;stateCode:MO;stateName:Missouri;,20,https://api.congress.gov/v3/member/A000379/sponsored-legislation
S001218,Image courtesy of the Member,https://www.congress.gov/img/member/s001218_200.jpg,"Stansbury, Melanie Ann",Democratic,New Mexico,1,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/S001218?format=json,1979,801,https://api.congress.gov/v3/member/S001218/cosponsored-legislation,Melanie Stansbury,Melanie,Ms.,"Stansbury, Melanie Ann",Stansbury,partyAbbreviation:D;partyName:Democratic;startYear:2021;,chamber:House of Representatives;congress:117;district:1;endYear:2023;memberType:Representative;startYear:2021;stateCode:NM;stateName:New Mexico;chamber:House of Representatives;congress:118;district:1;memberType:Representative;startYear:2023;stateCode:NM;stateName:New Mexico;,19,https://api.congress.gov/v3/member/S001218/sponsored-legislation
N000192,Image courtesy of the Member,https://www.congress.gov/img/member/n000192_200.jpg,"Newman, Marie",Democratic,Illinois,3,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/N000192?format=json,1964,660,https://api.congress.gov/v3/member/N000192/cosponsored-legislation,Marie Newman,Marie,Ms.,"Newman, Marie",Newman,partyAbbreviation:D;partyName:Democratic;startYear:2021;,chamber:House of Representatives;congress:117;district:3;endYear:2023;memberType:Representative;startYear:2021;stateCode:IL;stateName:Illinois;,21,https://api.congress.gov/v3/member/N000192/sponsored-legislation
M001186,Image courtesy of the Member,https://www.congress.gov/img/member/m001186_200.jpg,"Meijer, Peter",Republican,Michigan,3,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/M001186?format=json,1988,331,https://api.congress.gov/v3/member/M001186/cosponsored-legislation,Peter Meijer,Peter,Mr.,"Meijer, Peter",Meijer,partyAbbreviation:R;partyName:Republican;startYear:2021;,chamber:House of Representatives;congress:117;district:3;endYear:2023;memberType:Representative;startYear:2021;stateCode:MI;stateName:Michigan;,11,https://api.congress.gov/v3/member/M001186/sponsored-legislation
K000396,Image courtesy of the Member,https://www.congress.gov/img/member/k000396_200.jpg,"Kahele, Kaiali'i",Democratic,Hawaii,2,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/K000396?format=json,1974,483,https://api.congress.gov/v3/member/K000396/cosponsored-legislation,Kaiali'I Kahele,Kaiali'i,Mr.,"Kahele, Kaiali'i",Kahele,partyAbbreviation:D;partyName:Democratic;startYear:2021;,chamber:House of Representatives;congress:117;district:2;endYear:2023;memberType:Representative;startYear:2021;stateCode:HI;stateName:Hawaii;,17,https://api.congress.gov/v3/member/K000396/sponsored-legislation
J000306,Image courtesy of the Member,https://www.congress.gov/img/member/j000306_200.jpg,"Jones, Mondaire",Democratic,New York,17,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/J000306?format=json,1987,803,https://api.congress.gov/v3/member/J000306/cosponsored-legislation,Mondaire Jones,Mondaire,Mr.,"Jones, Mondaire",Jones,partyAbbreviation:D;partyName:Democratic;startYear:2021;,chamber:House of Representatives;congress:117;district:17;endYear:2023;memberType:Representative;startYear:2021;stateCode:NY;stateName:New York;,14,https://api.congress.gov/v3/member/J000306/sponsored-legislation
H001084,Image courtesy of the Member,https://www.congress.gov/img/member/h001084_200.jpg,"Herrell, Yvette",Republican,New Mexico,2,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/H001084?format=json,1964,364,https://api.congress.gov/v3/member/H001084/cosponsored-legislation,Yvette Herrell,Yvette,Ms.,"Herrell, Yvette",Herrell,partyAbbreviation:R;partyName:Republican;startYear:2021;,chamber:House of Representatives;congress:117;district:2;endYear:2023;memberType:Representative;startYear:2021;stateCode:NM;stateName:New Mexico;,25,https://api.congress.gov/v3/member/H001084/sponsored-legislation
C001104,Image courtesy of the Member,https://www.congress.gov/img/member/c001104_200.jpg,"Cawthorn, Madison",Republican,North Carolina,11,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/C001104?format=json,1995,383,https://api.congress.gov/v3/member/C001104/cosponsored-legislation,Madison Cawthorn,Madison,Mr.,"Cawthorn, Madison",Cawthorn,partyAbbreviation:R;partyName:Republican;startYear:2021;,chamber:House of Representatives;congress:117;district:11;endYear:2023;memberType:Representative;startYear:2021;stateCode:NC;stateName:North Carolina;,50,https://api.congress.gov/v3/member/C001104/sponsored-legislation
B001312,Image courtesy of the Member,https://www.congress.gov/img/member/b001312_200.jpg,"Bourdeaux, Carolyn",Democratic,Georgia,7,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/B001312?format=json,1970,296,https://api.congress.gov/v3/member/B001312/cosponsored-legislation,Carolyn Bourdeaux,Carolyn,Ms.,"Bourdeaux, Carolyn",Bourdeaux,partyAbbreviation:D;partyName:Democratic;startYear:2021;,chamber:House of Representatives;congress:117;district:7;endYear:2023;memberType:Representative;startYear:2021;stateCode:GA;stateName:Georgia;,16,https://api.congress.gov/v3/member/B001312/sponsored-legislation
J000020,Image courtesy of the Member,https://www.congress.gov/img/member/j000020_200.jpg,"Jacobs, Chris",Republican,New York,27,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/J000020?format=json,1966,293,https://api.congress.gov/v3/member/J000020/cosponsored-legislation,Chris Jacobs,Chris,MISSING,"Jacobs, Chris",Jacobs,partyAbbreviation:R;partyName:Republican;startYear:2020;,chamber:House of Representatives;congress:116;district:27;endYear:2021;memberType:Representative;startYear:2020;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:117;district:27;endYear:2023;memberType:Representative;startYear:2021;stateCode:NY;stateName:New York;,29,https://api.congress.gov/v3/member/J000020/sponsored-legislation
K000395,Image courtesy of the Member,https://www.congress.gov/img/member/k000395_200.jpg,"Keller, Fred",Republican,Pennsylvania,12,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/K000395?format=json,1965,520,https://api.congress.gov/v3/member/K000395/cosponsored-legislation,Fred Keller,Fred,Mr.,"Keller, Fred",Keller,partyAbbreviation:R;partyName:Republican;startYear:2019;,chamber:House of Representatives;congress:116;district:12;endYear:2021;memberType:Representative;startYear:2019;stateCode:PA;stateName:Pennsylvania;chamber:House of Representatives;congress:117;district:12;endYear:2023;memberType:Representative;startYear:2021;stateCode:PA;stateName:Pennsylvania;,32,https://api.congress.gov/v3/member/K000395/sponsored-legislation
L000591,Image courtesy of the Member,https://www.congress.gov/img/member/l000591_200.jpg,"Luria, Elaine G.",Democratic,Virginia,2,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/L000591?format=json,1975,1003,https://api.congress.gov/v3/member/L000591/cosponsored-legislation,Elaine G. Luria,Elaine,Mrs.,"Luria, Elaine G.",Luria,partyAbbreviation:D;partyName:Democratic;startYear:2019;,chamber:House of Representatives;congress:116;district:2;endYear:2021;memberType:Representative;startYear:2019;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:117;district:2;endYear:2023;memberType:Representative;startYear:2021;stateCode:VA;stateName:Virginia;,47,https://api.congress.gov/v3/member/L000591/sponsored-legislation
T000479,Image courtesy of the Member,https://www.congress.gov/img/member/t000479_200.jpg,"Taylor, Van",Republican,Texas,3,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/T000479?format=json,1972,612,https://api.congress.gov/v3/member/T000479/cosponsored-legislation,Van Taylor,Van,Mr.,"Taylor, Van",Taylor,partyAbbreviation:R;partyName:Republican;startYear:2019;,chamber:House of Representatives;congress:116;district:3;endYear:2021;memberType:Representative;startYear:2019;stateCode:TX;stateName:Texas;chamber:House of Representatives;congress:117;district:3;endYear:2023;memberType:Representative;startYear:2021;stateCode:TX;stateName:Texas;,16,https://api.congress.gov/v3/member/T000479/sponsored-legislation
G000588,Image courtesy of the Member,https://www.congress.gov/img/member/g000588_200.jpg,"Gonzalez, Anthony",Republican,Ohio,16,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/G000588?format=json,1984,515,https://api.congress.gov/v3/member/G000588/cosponsored-legislation,Anthony Gonzalez,Anthony,Mr.,"Gonzalez, Anthony",Gonzalez,partyAbbreviation:R;partyName:Republican;startYear:2019;,chamber:House of Representatives;congress:116;district:16;endYear:2021;memberType:Representative;startYear:2019;stateCode:OH;stateName:Ohio;chamber:House of Representatives;congress:117;district:16;endYear:2023;memberType:Representative;startYear:2021;stateCode:OH;stateName:Ohio;,36,https://api.congress.gov/v3/member/G000588/sponsored-legislation
M001203,Image courtesy of the Member,https://www.congress.gov/img/member/m001203_200.jpg,"Malinowski, Tom",Democratic,New Jersey,7,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/M001203?format=json,1965,959,https://api.congress.gov/v3/member/M001203/cosponsored-legislation,Tom Malinowski,Tom,Mr.,"Malinowski, Tom",Malinowski,partyAbbreviation:D;partyName:Democratic;startYear:2019;,chamber:House of Representatives;congress:116;district:7;endYear:2021;memberType:Representative;startYear:2019;stateCode:NJ;stateName:New Jersey;chamber:House of Representatives;congress:117;district:7;endYear:2023;memberType:Representative;startYear:2021;stateCode:NJ;stateName:New Jersey;,62,https://api.congress.gov/v3/member/M001203/sponsored-legislation
A000378,Image courtesy of the Member,https://www.congress.gov/img/member/a000378_200.jpg,"Axne, Cynthia",Democratic,Iowa,3,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/A000378?format=json,1965,1149,https://api.congress.gov/v3/member/A000378/cosponsored-legislation,Cynthia Axne,Cynthia,Mrs.,"Axne, Cynthia",Axne,partyAbbreviation:D;partyName:Democratic;startYear:2019;,chamber:House of Representatives;congress:116;district:3;endYear:2021;memberType:Representative;startYear:2019;stateCode:IA;stateName:Iowa;chamber:House of Representatives;congress:117;district:3;endYear:2023;memberType:Representative;startYear:2021;stateCode:IA;stateName:Iowa;,81,https://api.congress.gov/v3/member/A000378/sponsored-legislation
S001204,Image courtesy of the Member,https://www.congress.gov/img/member/s001204_200.jpg,"San Nicolas, Michael F. Q.",Democratic,Guam,0,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/S001204?format=json,1981,871,https://api.congress.gov/v3/member/S001204/cosponsored-legislation,Michael F. Q. San Nicolas,Michael,Mr.,"San Nicolas, Michael F. Q.",San Nicolas,partyAbbreviation:D;partyName:Democratic;startYear:2019;,chamber:House of Representatives;congress:116;endYear:2021;memberType:Delegate;startYear:2019;stateCode:GU;stateName:Guam;chamber:House of Representatives;congress:117;endYear:2023;memberType:Delegate;startYear:2021;stateCode:GU;stateName:Guam;,31,https://api.congress.gov/v3/member/S001204/sponsored-legislation
L000588,Congressional Pictorial Directory,https://www.congress.gov/img/member/115_rp_pa_18_lamb_conor_200.jpg,"Lamb, Conor",Democratic,Pennsylvania,17,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/L000588?format=json,1984,750,https://api.congress.gov/v3/member/L000588/cosponsored-legislation,Conor Lamb,Conor,Mr.,"Lamb, Conor",Lamb,partyAbbreviation:D;partyName:Democratic;startYear:2018;,chamber:House of Representatives;congress:115;district:18;endYear:2019;memberType:Representative;startYear:2018;stateCode:PA;stateName:Pennsylvania;chamber:House of Representatives;congress:116;district:17;endYear:2021;memberType:Representative;startYear:2019;stateCode:PA;stateName:Pennsylvania;chamber:House of Representatives;congress:117;district:17;endYear:2023;memberType:Representative;startYear:2021;stateCode:PA;stateName:Pennsylvania;,58,https://api.congress.gov/v3/member/L000588/sponsored-legislation
C001109,Image courtesy of the Member,https://www.congress.gov/img/member/c001109_200.jpg,"Cheney, Liz",Republican,Wyoming,0,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/C001109?format=json,1966,473,https://api.congress.gov/v3/member/C001109/cosponsored-legislation,Liz Cheney,Liz,Ms.,"Cheney, Liz",Cheney,partyAbbreviation:R;partyName:Republican;startYear:2017;,chamber:House of Representatives;congress:115;endYear:2019;memberType:Representative;startYear:2017;stateCode:WY;stateName:Wyoming;chamber:House of Representatives;congress:116;endYear:2021;memberType:Representative;startYear:2019;stateCode:WY;stateName:Wyoming;chamber:House of Representatives;congress:117;endYear:2023;memberType:Representative;startYear:2021;stateCode:WY;stateName:Wyoming;,83,https://api.congress.gov/v3/member/C001109/sponsored-legislation
M001200,Congressional Pictorial Directory,https://www.congress.gov/img/member/116_rp_va_4_mceachin_a_200.jpg,"McEachin, A. Donald",Democratic,Virginia,4,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/M001200?format=json,1961,976,https://api.congress.gov/v3/member/M001200/cosponsored-legislation,A. Donald McEachin,A.,Mr.,"McEachin, A. Donald",McEachin,partyAbbreviation:D;partyName:Democratic;startYear:2017;,chamber:House of Representatives;congress:115;district:4;endYear:2019;memberType:Representative;startYear:2017;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:116;district:4;endYear:2021;memberType:Representative;startYear:2019;stateCode:VA;stateName:Virginia;chamber:House of Representatives;congress:117;district:4;endYear:2022;memberType:Representative;startYear:2021;stateCode:VA;stateName:Virginia;,70,https://api.congress.gov/v3/member/M001200/sponsored-legislation
S001201,Congressional Pictorial Directory,https://www.congress.gov/img/member/116_rp_ny_3_suozzi_thomas_200.jpg,"Suozzi, Thomas R.",Democratic,New York,3,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/S001201?format=json,1962,1979,https://api.congress.gov/v3/member/S001201/cosponsored-legislation,Thomas R. Suozzi,Thomas,Mr.,"Suozzi, Thomas R.",Suozzi,partyAbbreviation:D;partyName:Democratic;startYear:2017;,chamber:House of Representatives;congress:115;district:3;endYear:2019;memberType:Representative;startYear:2017;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:116;district:3;endYear:2021;memberType:Representative;startYear:2019;stateCode:NY;stateName:New York;chamber:House of Representatives;congress:117;district:3;endYear:2023;memberType:Representative;startYear:2021;stateCode:NY;stateName:New York;,56,https://api.congress.gov/v3/member/S001201/sponsored-legislation
B001304,Image courtesy of the Member,https://www.congress.gov/img/member/b001304_200.jpg,"Brown, Anthony G.",Democratic,Maryland,4,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/B001304?format=json,1961,1347,https://api.congress.gov/v3/member/B001304/cosponsored-legislation,Anthony G. Brown,Anthony,Mr.,"Brown, Anthony G.",Brown,partyAbbreviation:D;partyName:Democratic;startYear:2017;,chamber:House of Representatives;congress:115;district:4;endYear:2019;memberType:Representative;startYear:2017;stateCode:MD;stateName:Maryland;chamber:House of Representatives;congress:116;district:4;endYear:2021;memberType:Representative;startYear:2019;stateCode:MD;stateName:Maryland;chamber:House of Representatives;congress:117;district:4;endYear:2023;memberType:Representative;startYear:2021;stateCode:MD;stateName:Maryland;,154,https://api.congress.gov/v3/member/B001304/sponsored-legislation
H001074,Congressional Pictorial Directory,https://www.congress.gov/img/member/115_rp_in_9_hollingsworth_trey_200.jpg,"Hollingsworth, Trey",Republican,Indiana,9,2023-01-26T16:10:43Z,https://api.congress.gov/v3/member/H001074?format=json,1983,264,https://api.congress.gov/v3/member/H001074/cosponsored-legislation,Trey Hollingsworth,Trey,Mr.,"Hollingsworth, Trey",Hollingsworth,partyAbbreviation:R;partyName:Republican;startYear:2017;,chamber:House of Representatives;congress:115;district:9;endYear:2019;memberType:Representative;startYear:2017;stateCode:IN;stateName:Indiana;chamber:House of Representatives;congress:116;district:9;endYear:2021;memberType:Representative;startYear:2019;stateCode:IN;stateName:Indiana;chamber:House of Representatives;congress:117;district:9;endYear:2023;memberType:Representative;startYear:2021;stateCode:IN;stateName:Indiana;,27,https://api.congress.gov/v3/member/H001074/sponsored-legislation
